treatment,type,y,ymin,ymax
Top-Top,Prediction,2.7841666666666667,2.7202253116550668,2.8481080216782666
Top-Rank,Prediction,2.7525,2.666604491253261,2.8383955087467387
Rank-Top,Prediction,2.8341666666666665,2.771059648494214,2.897273684839119
Rank-Rank,Prediction,2.815,2.729810632692624,2.9001893673073758
Top-Top,Vote,2.7491666666666665,2.68542915003917,2.812904183294163
Top-Rank,Vote,2.779166666666667,2.715963493158038,2.8423698401752957
Rank-Top,Vote,2.6783333333333332,2.5924323934791502,2.7642342731875162
Rank-Rank,Vote,2.743333333333333,2.658910917994683,2.8277557486719833
Top-None,Prediction,NA,NA,NA
Top-None,Vote,NA,NA,NA
Rank-None,Prediction,NA,NA,NA
Rank-None,Vote,NA,NA,NA
Rank-Rank,SPVoting,0.822222222222222,0.562226910722608,1.08221753372184
Rank-Top,SPVoting,2.04444444444444,1.77534089010704,2.31354799878185
Rank-None,SPVoting,2.93333333333333,2.6714296687952,3.19523699787147
Top-Rank,SPVoting,1.08888888888889,0.802225673048566,1.37555210472921
Top-Top,SPVoting,2.06666666666667,1.78305676572687,2.35027656760646
Top-None,SPVoting,2.97777777777778,2.72788215529338,3.22767340026218
