workerId,problem,treatment,domain,question,options,response,correct
1,1,2,3,5,"[9, 15, 21, 27]","[[15], [15]]",False
1,2,2,1,2,"[3, 9, 15, 21]","[[3], [3]]",True
1,3,2,1,19,"[22, 28, 34, 40]","[[28], [28]]",False
1,4,2,1,11,"[21, 27, 33, 39]","[[21], [21]]",True
1,5,2,2,7,"[13, 19, 25, 31]","[[31], [25]]",False
1,6,3,3,20,"[32, 38, 44, 50]","[[38], [38, 44, 50, 32]]",False
1,7,3,1,19,"[22, 28, 34, 40]","[[28], [28, 22, 40, 34]]",False
1,8,3,1,6,"[11, 17, 23, 29]","[[11], [11, 29, 17, 23]]",True
1,9,3,1,8,"[15, 21, 27, 33]","[[21], [21, 15, 33, 27]]",False
1,10,3,2,16,"[31, 37, 43, 49]","[[37], [37, 49, 31, 43]]",False
2,1,4,2,7,"[13, 19, 25, 31]","[[25, 13, 31, 19], []]",False
2,2,4,2,13,"[25, 31, 37, 43]","[[31, 25, 43, 37], []]",False
2,3,4,3,11,"[21, 27, 33, 39]","[[39, 21, 27, 33], []]",False
2,4,4,1,13,"[25, 31, 37, 43]","[[43, 31, 37, 25], []]",False
2,5,4,1,3,"[5, 11, 17, 23]","[[17, 5, 23, 11], []]",False
2,6,3,2,12,"[23, 29, 35, 41]","[[23], [35, 23, 29, 41]]",True
2,7,3,2,1,"[1, 7, 13, 19]","[[13], [7, 1, 13, 19]]",False
2,8,3,3,6,"[11, 17, 23, 29]","[[23], [11, 23, 29, 17]]",False
2,9,3,1,1,"[1, 7, 13, 19]","[[13], [19, 7, 1, 13]]",False
2,10,3,1,19,"[22, 28, 34, 40]","[[28], [34, 40, 22, 28]]",False
3,1,2,2,19,"[22, 28, 34, 40]","[[34], [28]]",False
3,2,2,1,10,"[19, 25, 31, 37]","[[19], [19]]",True
3,3,2,1,2,"[3, 9, 15, 21]","[[3], [3]]",True
3,4,2,2,10,"[19, 25, 31, 37]","[[25], [25]]",False
3,5,2,2,14,"[27, 33, 39, 45]","[[27], [27]]",True
3,6,5,2,14,"[27, 33, 39, 45]","[[27, 33, 39, 45], [27]]",True
3,7,5,1,10,"[19, 25, 31, 37]","[[19, 25, 31, 37], [25]]",True
3,8,5,1,18,"[12, 18, 24, 30]","[[18, 30, 24, 12], [18]]",False
3,9,5,2,1,"[1, 7, 13, 19]","[[1, 7, 19, 13], [1]]",True
3,10,5,2,18,"[12, 18, 24, 30]","[[24, 30, 18, 12], [24]]",False
4,1,1,2,20,"[32, 38, 44, 50]","[[38], []]",False
4,2,1,1,19,"[22, 28, 34, 40]","[[22], []]",True
4,3,1,1,9,"[17, 23, 29, 35]","[[17], []]",True
4,4,1,2,13,"[25, 31, 37, 43]","[[43], []]",False
4,5,1,1,5,"[9, 15, 21, 27]","[[21], []]",False
4,6,2,2,12,"[23, 29, 35, 41]","[[29], [35]]",False
4,7,2,1,3,"[5, 11, 17, 23]","[[17], [5]]",False
4,8,2,1,12,"[23, 29, 35, 41]","[[29], [41]]",False
4,9,2,2,16,"[31, 37, 43, 49]","[[49], [31]]",False
4,10,2,1,11,"[21, 27, 33, 39]","[[33], [21]]",False
5,1,5,3,17,"[2, 8, 14, 20]","[[20, 14, 2, 8], [20]]",False
5,2,5,2,7,"[13, 19, 25, 31]","[[13, 25, 31, 19], [25]]",True
5,3,5,2,18,"[12, 18, 24, 30]","[[30, 12, 24, 18], [30]]",False
5,4,5,3,3,"[5, 11, 17, 23]","[[23, 17, 11, 5], [11]]",False
5,5,5,1,10,"[19, 25, 31, 37]","[[19, 31, 25, 37], [19]]",True
5,6,4,3,1,"[1, 7, 13, 19]","[[1, 7, 19, 13], []]",True
5,7,4,2,19,"[22, 28, 34, 40]","[[22, 40, 34, 28], []]",True
5,8,4,2,6,"[11, 17, 23, 29]","[[11, 17, 29, 23], []]",True
5,9,4,3,14,"[27, 33, 39, 45]","[[45, 33, 27, 39], []]",False
5,10,4,1,15,"[29, 35, 41, 47]","[[41, 29, 35, 47], []]",False
6,1,2,2,18,"[12, 18, 24, 30]","[[12], [30]]",True
6,2,2,3,2,"[3, 9, 15, 21]","[[21], [9]]",False
6,3,2,1,1,"[1, 7, 13, 19]","[[1], [13]]",True
6,4,2,3,8,"[15, 21, 27, 33]","[[15], [33]]",True
6,5,2,3,17,"[2, 8, 14, 20]","[[20], [2]]",False
6,6,1,2,10,"[19, 25, 31, 37]","[[19], []]",True
6,7,1,3,11,"[21, 27, 33, 39]","[[21], []]",True
6,8,1,1,11,"[21, 27, 33, 39]","[[21], []]",True
6,9,1,3,7,"[13, 19, 25, 31]","[[31], []]",False
6,10,1,3,17,"[2, 8, 14, 20]","[[14], []]",False
7,1,1,3,10,"[19, 25, 31, 37]","[[37], []]",False
7,2,1,3,19,"[22, 28, 34, 40]","[[28], []]",False
7,3,1,1,4,"[7, 13, 19, 25]","[[25], []]",False
7,4,1,3,16,"[31, 37, 43, 49]","[[31], []]",True
7,5,1,1,9,"[17, 23, 29, 35]","[[29], []]",False
7,6,3,3,13,"[25, 31, 37, 43]","[[37], [43, 25, 37, 31]]",False
7,7,3,3,6,"[11, 17, 23, 29]","[[17], [17, 23, 11, 29]]",False
7,8,3,1,11,"[21, 27, 33, 39]","[[33], [33, 39, 27, 21]]",False
7,9,3,3,11,"[21, 27, 33, 39]","[[33], [33, 21, 27, 39]]",False
7,10,3,1,8,"[15, 21, 27, 33]","[[21], [21, 15, 27, 33]]",False
8,1,6,2,15,"[29, 35, 41, 47]","[[35, 29, 41, 47], [35, 29, 41, 47]]",False
8,2,6,2,16,"[31, 37, 43, 49]","[[31, 37, 49, 43], [37, 43, 31, 49]]",True
8,3,6,3,12,"[23, 29, 35, 41]","[[35, 29, 23, 41], [41, 29, 35, 23]]",False
8,4,6,1,9,"[17, 23, 29, 35]","[[17, 29, 35, 23], [29, 17, 35, 23]]",True
8,5,6,3,4,"[7, 13, 19, 25]","[[25, 19, 7, 13], [19, 13, 25, 7]]",False
8,6,5,2,17,"[2, 8, 14, 20]","[[2, 8, 20, 14], [2]]",True
8,7,5,2,13,"[25, 31, 37, 43]","[[31, 37, 25, 43], [37]]",False
8,8,5,3,3,"[5, 11, 17, 23]","[[17, 11, 23, 5], [17]]",False
8,9,5,1,17,"[2, 8, 14, 20]","[[2, 20, 14, 8], [2]]",True
8,10,5,3,8,"[15, 21, 27, 33]","[[21, 15, 27, 33], [27]]",False
9,1,5,3,16,"[31, 37, 43, 49]","[[43, 37, 49, 31], [43]]",False
9,2,5,2,2,"[3, 9, 15, 21]","[[21, 3, 9, 15], [21]]",False
9,3,5,1,8,"[15, 21, 27, 33]","[[21, 15, 27, 33], [21]]",False
9,4,5,1,15,"[29, 35, 41, 47]","[[29, 41, 47, 35], [41]]",True
9,5,5,1,17,"[2, 8, 14, 20]","[[2, 8, 20, 14], [2]]",True
9,6,4,3,16,"[31, 37, 43, 49]","[[43, 37, 49, 31], []]",False
9,7,4,2,16,"[31, 37, 43, 49]","[[31, 49, 37, 43], []]",True
9,8,4,1,12,"[23, 29, 35, 41]","[[29, 41, 35, 23], []]",False
9,9,4,1,17,"[2, 8, 14, 20]","[[2, 8, 20, 14], []]",True
9,10,4,1,16,"[31, 37, 43, 49]","[[31, 37, 43, 49], []]",True
10,1,6,3,19,"[22, 28, 34, 40]","[[22, 34, 40, 28], [22, 40, 34, 28]]",True
10,2,6,3,2,"[3, 9, 15, 21]","[[21, 15, 3, 9], [3, 9, 15, 21]]",False
10,3,6,3,8,"[15, 21, 27, 33]","[[33, 21, 27, 15], [27, 15, 21, 33]]",False
10,4,6,2,15,"[29, 35, 41, 47]","[[41, 47, 29, 35], [29, 47, 35, 41]]",False
10,5,6,2,3,"[5, 11, 17, 23]","[[5, 17, 23, 11], [5, 11, 17, 23]]",True
10,6,2,3,19,"[22, 28, 34, 40]","[[40], [22]]",False
10,7,2,3,20,"[32, 38, 44, 50]","[[44], [32]]",False
10,8,2,3,17,"[2, 8, 14, 20]","[[2], [8]]",True
10,9,2,2,20,"[32, 38, 44, 50]","[[32], [44]]",True
10,10,2,2,9,"[17, 23, 29, 35]","[[35], [35]]",False
11,1,4,2,5,"[9, 15, 21, 27]","[[15, 21, 27, 9], []]",False
11,2,4,3,5,"[9, 15, 21, 27]","[[9, 27, 21, 15], []]",True
11,3,4,2,6,"[11, 17, 23, 29]","[[11, 17, 29, 23], []]",True
11,4,4,2,14,"[27, 33, 39, 45]","[[27, 39, 33, 45], []]",True
11,5,4,1,16,"[31, 37, 43, 49]","[[49, 31, 37, 43], []]",False
11,6,5,2,7,"[13, 19, 25, 31]","[[19, 25, 31, 13], [19]]",False
11,7,5,3,13,"[25, 31, 37, 43]","[[43, 37, 31, 25], [43]]",False
11,8,5,2,1,"[1, 7, 13, 19]","[[19, 7, 1, 13], [19]]",False
11,9,5,2,9,"[17, 23, 29, 35]","[[29, 17, 23, 35], [23]]",False
11,10,5,1,20,"[32, 38, 44, 50]","[[38, 32, 44, 50], [32]]",False
12,1,1,2,3,"[5, 11, 17, 23]","[[17], []]",False
12,2,1,1,3,"[5, 11, 17, 23]","[[11], []]",False
12,3,1,3,1,"[1, 7, 13, 19]","[[1], []]",True
12,4,1,2,7,"[13, 19, 25, 31]","[[31], []]",False
